file,Jaro,Winkler,Levenshtein,Ratcliff_Obershelp,Fuzzy,Damerau-Levenshtein,LCSubstring,LCSubsequence
1,79.2989512,81,50.3491078,10.318076,71,64.9728472,92.07459207,50.34910784
1,79.4638929,82,50.038373,5.9861857,70,65.0422103,91.996892,50.03837299
1,80.9319591,83,85.5758479,70.4435334,95,87.1039881,98.05749806,85.57584793
0,65.1466823,75,31.6897507,1.9858156,29,55.4595086,64.1025641,38.64027539
0,70.5098956,70,38.9076197,1.7621145,30,43.0470914,60.45066045,36.01340034
0,59.5356142,61,35.6798457,0.5688282,34,42.9362881,49.57264957,28.31325301
1,79.2989512,81,50.3491078,6.0512025,71,64.9728472,92.71882262,50.34910784
1,83.2929299,85,96.3984674,95.4789272,99,97.3563218,98.99302866,96.39846743
1,79.1122599,81,44.733904,6.9966505,71,61.6300707,92.40898528,44.73390398
0,69.2750797,74,34.9854227,2.6609899,47,54.7083142,70.79783114,30.45764362
0,58.6071467,69,38.8046387,1.5351812,48,29.1737593,61.89000775,35.09471585
0,64.2348504,70,19.6939454,1.7866527,35,44.4082519,49.26413633,33.51007423
1,79.4638929,82,50.038373,5.5257099,70,65.0422103,90.82638362,50.03837299
1,83.2929299,85,96.3984674,88.5057471,99,97.3563218,96.6641395,96.39846743
1,79.1179569,81,45.0828729,10.2394107,71,61.5469613,90.59893859,45.08287293
0,73.9737814,76,35.0672646,1.8411183,41,55.8447287,50.18953753,37.56906077
0,70.7679895,79,24.8401826,0.2606429,29,43.0048993,71.19029568,36.77625836
0,55.3400781,65,34.3687375,2.0454545,37,45.2581665,53.90447309,27.5175644
1,80.9319591,83,85.5758479,49.869549,95,87.1039881,96.34670487,85.57584793
1,79.1122599,81,44.733904,4.9869743,71,61.6300707,90.04297994,44.73390398
1,79.1179569,81,45.0828729,2.946593,71,61.5469613,90.75931232,45.08287293
0,58.979781,73,38.060686,2.0011117,41,56.5881993,75.42979943,32.97455969
0,66.1817524,70,34.7288297,4.511895,41,57.2289157,59.24068768,33.41024458
0,69.3285605,68,38.7191756,2.7671756,42,39.1001607,36.46131805,30.72943611
1,76.3241461,86,61.4035088,43.6090226,76,71.8045113,85.75581395,61.40350877
1,71.7453003,83,55.9349593,55.9349593,100,55.9349593,100,55.93495935
1,66.1295867,80,47.6190476,42.8571429,97,48.5569986,100,47.61904762
0,60.6338059,69,32.103321,0.3327787,28,41.554322,67.15116279,25.96835788
0,59.3310042,65,29.833454,0.8595989,43,20.800276,84.59302326,31.22866894
0,67.0797835,65,33.1406551,4.2990654,44,58.7257618,42.15116279,36.77884615
1,76.3241461,86,61.4035088,48.1203008,76,71.8045113,85.02202643,61.40350877
1,69.8859113,82,62.6865672,51.7910448,94,64.8507463,97.57709251,62.68656716
1,67.6180599,81,56.9518717,49.3315508,91,58.6229947,96.69603524,56.95187166
0,62.4646004,73,30.7503075,3.3482143,38,57.0582428,78.63436123,19.55337691
0,64.0564812,69,25.4186346,2.6033691,21,48.9425982,70.92511013,19.34799894
0,66.1180502,71,33.976834,2.6046512,38,38.3848977,32.59911894,33.13609467
1,71.7453003,83,55.9349593,55.9349593,100,55.9349593,74.26636569,55.93495935
1,69.8859113,82,62.6865672,46.5671642,94,64.8507463,81.82844244,62.68656716
1,80.4608991,88,81.5352697,81.120332,95,82.9356846,96.95259594,81.53526971
0,67.445828,73,38.354507,2.5773196,24,48.7070629,53.49887133,30.29643731
0,73.8265179,69,37.7934272,3.6809816,42,57.9034942,60.496614,29.9456055
0,70.2003801,67,35.7735849,2.2413793,46,44.1548183,36.23024831,36.43966547
1,66.1295867,80,47.6190476,32.1789322,97,48.5569986,70.82533589,47.61904762
1,67.6180599,81,56.9518717,41.7112299,91,58.6229947,79.2706334,56.95187166
1,80.4608991,88,81.5352697,81.2240664,95,82.9356846,96.2571977,81.53526971
0,71.6004159,74,32.4911868,2.9498525,43,55.6536128,59.02111324,34.05063291
0,72.8381074,73,36.6197183,2.1923815,43,24.4193943,47.50479846,32.49118684
0,64.1999456,74,35.9314538,2.3759609,35,48.1481481,44.62571977,35.4506957
1,84.5679797,91,93.3471933,93.3471933,100,93.4511435,100,93.34719335
1,80.09134,82,78.8241156,64.6736423,86,82.5610364,95.31737773,78.8241156
1,81.7020084,89,95.0868486,95.0868486,100,95.235732,99.89594173,95.08684864
0,74.4302656,74,37.6357057,2.4305556,45,58.6470267,65.7648283,35.0615442
0,63.5233355,77,34.6029697,0.811124,49,46.6571835,78.56399584,39.63507349
0,75.9215123,73,36.4986737,2.1871203,45,53.2739987,45.57752341,34.00809717
